n_estimators,min_samples_split,max_features,accuracy,f1,roc_auc,pr_auc,matthews
100,8,7,0.9916885746477033,0.9830089795373369,0.9994808283680963,0.998279345920946,0.9775218556434894
150,8,7,0.9919661664571121,0.983575911336627,0.999506665553419,0.9983791289134601,0.978272820452083
200,8,7,0.9919498375271468,0.983551863343676,0.9995097461547381,0.99843585259201,0.978233260909564
300,8,7,0.9919498375271468,0.9835496679902566,0.9995097806954677,0.998421100703452,0.9782321217075836
50,6,7,0.9917212325076338,0.9830802603036877,0.9994074494665025,0.9983529631254112,0.9776124728516664
100,6,7,0.9919171796672164,0.9834796248706739,0.9994899392051207,0.9984915439018578,0.9781421031935407
150,6,7,0.9921784425466599,0.984014683797764,0.9995205185447752,0.9985337002067834,0.9788495531458126
200,6,7,0.9923743897062426,0.9844172311388435,0.9995241294902132,0.9985325164849659,0.979380734833957
300,6,7,0.9922927450564164,0.9842530192833789,0.9995318651744415,0.9986210119575645,0.979161171229389
50,10,7,0.9914273117682598,0.9824701993388761,0.9994327512705167,0.9983342061448182,0.9768125632726117
100,10,7,0.9917049035776686,0.9830417946321272,0.9994594239097361,0.9984291079748857,0.9775657729020478
150,10,7,0.9915579432079816,0.9827384728389703,0.9994720190428567,0.998470652519622,0.9771666810169679
200,10,7,0.9916069299978773,0.9828403552113241,0.9995033381298031,0.9985098039945448,0.9773000793218952
300,10,7,0.9918681928773208,0.9833733974358975,0.9995015441706606,0.9985208254361703,0.9780066480390707
50,12,7,0.9914273117682598,0.9824818979612266,0.9994011263541941,0.9980905445935855,0.9768184440135854
100,12,7,0.9913293381884685,0.9822674903990649,0.9994440676770445,0.9982593655293881,0.9765462694237075
150,12,7,0.9915252853480512,0.982675167740428,0.9994502065721285,0.9982634552641269,0.9770799609664562
200,12,7,0.9915252853480512,0.9826693825758841,0.9994682397113623,0.9983059536539625,0.9770772142056097
300,12,7,0.9916069299978773,0.9828380634390651,0.9994792596432945,0.9984194478058455,0.9772990007093245
50,15,7,0.9906761809898598,0.980926612553028,0.9993924134551582,0.9982479368601432,0.9747757602820627
100,15,7,0.9909537727992684,0.98149014366856,0.9994350158470997,0.9983190864575414,0.9755254008134412
150,15,7,0.9911007331689554,0.9817975351524665,0.9994473411307705,0.9983558760544462,0.9759263134103552
200,15,7,0.9913130092585033,0.9822323158105671,0.9994506009121246,0.99836464253426,0.9765012532871091
300,15,7,0.9913130092585033,0.9822311289245157,0.9994470187506279,0.9983552820656624,0.9765007197515785
50,18,7,0.9903496023905554,0.9802479863640922,0.9993379312110375,0.9980182220411773,0.9738867157487001
100,18,7,0.9906925099198249,0.9809619238476954,0.999374581083915,0.9981201008558918,0.9748208705976615
150,18,7,0.9910027595891642,0.9815946821658816,0.9993883333314768,0.998154414236958,0.9756599518093367
200,18,7,0.9910517463790598,0.9816955040416862,0.9994194257448851,0.9981802765646738,0.9757928567340233
300,18,7,0.9911660488888163,0.9819287169723085,0.9994181441398978,0.9982467879640653,0.9761020475729738
50,22,7,0.989876063421564,0.9792933003807361,0.9992859337406508,0.9978395852472357,0.9726112533953367
100,22,7,0.9903006156006597,0.9801563439567047,0.999330038654329,0.9980286890046958,0.9737579839205914
150,22,7,0.9903822602504858,0.9803266642172417,0.9993370813651702,0.9980506049867742,0.9739806247486872
200,22,7,0.990398589180451,0.980362033264311,0.9993696129756442,0.9981132029292483,0.9740257988105266
300,22,7,0.9904475759703467,0.9804615744297117,0.9993719639040509,0.9981387488011481,0.9741580913948755
50,27,7,0.9896148005421205,0.9787475773574817,0.9992456527735764,0.9977334368022703,0.9718982503239303
100,27,7,0.9896148005421205,0.9787305196976791,0.9992654705171716,0.9977853037739507,0.9718905661429909
150,27,7,0.9897617609118075,0.9790434172265116,0.9992974257292209,0.9979829586566824,0.9722939454912845
200,27,7,0.9898270766316684,0.9791812865497076,0.9992978697215155,0.9979758839910607,0.9724727899697148
300,27,7,0.9899250502114596,0.9793831657032112,0.9992991757928527,0.9979805153394822,0.9727387676092694
50,33,7,0.9889453144135465,0.9773646728409509,0.9992101729679135,0.9976768091104182,0.9700789436927736
100,33,7,0.989500498032364,0.9784957024848667,0.9992416165454057,0.9977840035608053,0.9715805484049516
150,33,7,0.9892229062229552,0.9779234680224779,0.9992434975759703,0.9977962642280278,0.9708267931673485
200,33,7,0.9893698665926421,0.9782281529045851,0.99924779429881,0.9978182545832648,0.9712265811574304
300,33,7,0.9893698665926421,0.9782252399906345,0.9992535359755039,0.9978513333273387,0.9712253539096238
50,41,7,0.988308486144903,0.976040690670593,0.9991080950376315,0.9972641387144904,0.9683444728689279
100,41,7,0.988390130794729,0.9762072081116354,0.9991553906512045,0.997471780525541,0.968565450359174
150,41,7,0.9884227886546595,0.9762709595367984,0.9991819172119215,0.99755266261088,0.9686526532652887
200,41,7,0.9884391175846247,0.9763163176557169,0.9991878308726647,0.9975736498599695,0.9687020330242438
300,41,7,0.9884391175846247,0.9763289869608827,0.9991872264098971,0.997587314666398,0.9687079557148413
50,51,7,0.9871817899773028,0.973723849372385,0.9989817673563905,0.996912720809986,0.9652866671879905
100,51,7,0.9873124214170246,0.9739968541882802,0.9990586614968175,0.9970669593126533,0.9656432130113272
150,51,7,0.9874757107166767,0.974329796847284,0.9990654429933913,0.9970767803505535,0.9660850981001221
200,51,7,0.9875736842964681,0.9745408316884681,0.9990845238680888,0.9972245485854245,0.9663554070499382
300,51,7,0.9879002628957725,0.9752099294101904,0.9991004903203362,0.997309156527723,0.9672405276133019
50,78,7,0.9849773844319982,0.9691275167785235,0.9987598863447655,0.9963266373682924,0.9592751414241422
100,78,7,0.9855488969807809,0.9703169545530773,0.9988056261863103,0.9965052729524462,0.9608329164854724
150,78,7,0.9855162391208504,0.9702558599644546,0.9988232174920448,0.9965614472375031,0.9607466087149781
200,78,7,0.98548358126092,0.9701807936135243,0.9988346087368203,0.9965678421266938,0.9606548076110897
300,78,7,0.9855815548407113,0.9703959499782077,0.9988592794529211,0.9966611674385946,0.9609263203454159
50,97,7,0.983622083244885,0.9662936451927278,0.9986026540653334,0.9958876912241708,0.9555753839538679
