ccp_alpha,depth,nodes,accuracy,f1,roc_auc,pr_auc,matthews
1.978571977546638e-06,38,8791,0.9879329207557028,0.9754280964256027,0.9788264298662475,0.9547926823034094,0.9674308753397951
1.976660313800216e-06,38,8799,0.9879329207557028,0.9754280964256027,0.9788266903609163,0.9547927520519311,0.9674308753397951
1.9791912489011122e-06,38,8779,0.9879329207557028,0.9754280964256027,0.9788743580069307,0.9548400731790857,0.9674308753397951
1.9804039886369597e-06,38,8727,0.9879655786156333,0.9754945968412303,0.9791046842269375,0.9552668539548697,0.9675190191379025
1.983506854267413e-06,38,8723,0.9879819075455986,0.9755270333178161,0.9791187149591314,0.9553522090407465,0.9675623701570406
1.9838481694867616e-06,38,8715,0.9879982364755637,0.9755610972568578,0.9791677260956066,0.9553967065076509,0.96760716293601
1.985468960474905e-06,38,8707,0.9879982364755637,0.9755610972568578,0.9792166803837978,0.9554441978686364,0.96760716293601
1.9899711576641893e-06,38,8679,0.988014565405529,0.9755951589307089,0.979426775091053,0.9557085451457323,0.9676519555850499
1.98702741334812e-06,38,8699,0.9879982364755637,0.9755610972568578,0.9793655869082046,0.9555871772714298,0.96760716293601
1.9924064370529435e-06,38,8671,0.988014565405529,0.9755951589307089,0.9794267592598853,0.9557084972125225,0.9676519555850499
1.9952495957481787e-06,38,8643,0.988014565405529,0.9755951589307089,0.9795721066499485,0.955850185754002,0.9676519555850499
2.0019301189482297e-06,38,8595,0.988014565405529,0.9755951589307089,0.9796445774181939,0.956323453095907,0.9676519555850499
1.9939994393598675e-06,38,8663,0.988014565405529,0.9755951589307089,0.9794262541017152,0.9557083589547962,0.9676519555850499
1.9998469450471376e-06,38,8619,0.988014565405529,0.9755951589307089,0.9796083441928668,0.9560847524695406,0.9676519555850499
1.9976248928859747e-06,38,8627,0.988014565405529,0.9755951589307089,0.9796108483957612,0.9560854415471113,0.9676519555850499
2.002055028795297e-06,38,8587,0.988014565405529,0.9755951589307089,0.9796445587086321,0.9563233991039254,0.9676519555850499
2.003713248777326e-06,38,8583,0.988014565405529,0.9755951589307089,0.9796443147647294,0.9563233469825103,0.9676519555850499
2.0038870398856167e-06,38,8563,0.988014565405529,0.9755951589307089,0.979654245224483,0.9563923264574914,0.9676519555850499
2.0051270689944578e-06,38,8551,0.988014565405529,0.9755951589307089,0.9796530183089844,0.956382559127458,0.9676519555850499
2.005728847826689e-06,38,8539,0.9880308943354942,0.9756275976724854,0.979678317954203,0.9565378821354,0.9676953067341174
2.0074654095996994e-06,38,8503,0.9880308943354942,0.9756275976724854,0.9797250501221246,0.9565763560787761,0.9676953067341174
2.009105495718654e-06,38,8499,0.9880308943354942,0.9756275976724854,0.9797235864587088,0.956564685169089,0.9676953067341174
2.0106569285338824e-06,38,8467,0.988014565405529,0.9755951589307089,0.9797781579330476,0.9566770240774725,0.9676519555850499
2.0069657722121504e-06,38,8515,0.9880308943354942,0.9756275976724854,0.9796778581307406,0.9565352819603639,0.9676953067341174
2.013064324281646e-06,38,8451,0.9880308943354942,0.975629218339595,0.9799238874299316,0.9568003304536191,0.9676967481043038
2.013521112192759e-06,38,8435,0.9880308943354942,0.975629218339595,0.979948404871545,0.9569587505139163,0.9676967481043038
2.014845797134991e-06,38,8431,0.9880308943354942,0.975629218339595,0.9799467123757957,0.9569452161990472,0.9676967481043038
2.0121267069904092e-06,38,8463,0.988014565405529,0.9755951589307089,0.9798759384208908,0.9567710107309627,0.9676519555850499
2.0156927268521593e-06,38,8419,0.9880308943354942,0.975629218339595,0.9799432568636408,0.9569442624476487,0.9676967481043038
2.0173059263134228e-06,38,8403,0.9880308943354942,0.975629218339595,0.9800383618841391,0.957027990914814,0.9676967481043038
2.0184501724429283e-06,38,8399,0.9880308943354942,0.975629218339595,0.9800361858181758,0.9570105707089461,0.9676967481043038
2.0161058632995556e-06,38,8415,0.9880308943354942,0.975629218339595,0.9800419958567301,0.9570382614187886,0.9676967481043038
2.019542407384724e-06,38,8395,0.988014565405529,0.975596781700911,0.9800343479635227,0.9569996370388518,0.967653402626412
2.0225402437143424e-06,38,8383,0.988014565405529,0.975596781700911,0.9800730422158322,0.957239669198755,0.967653402626412
2.0205860985513333e-06,38,8391,0.988014565405529,0.975596781700911,0.9800336204494061,0.9569994579364145,0.967653402626412
2.021584411841128e-06,38,8387,0.988014565405529,0.975596781700911,0.9800462019101547,0.9570749937288969,0.967653402626412
2.0239000869978776e-06,38,8359,0.9880308943354942,0.975629218339595,0.9801045296888351,0.9574331411427073,0.9676967481043038
2.0243348668232274e-06,38,8351,0.9880308943354942,0.975629218339595,0.9801507199990613,0.9574792027364836,0.9676967481043038
2.0234562492595036e-06,38,8367,0.9880308943354942,0.975629218339595,0.9800938443702205,0.9573726419622384,0.9676967481043038
2.0251783396844035e-06,38,8339,0.988014565405529,0.9755951589307089,0.9801457410968125,0.9574743988581821,0.9676519555850499
2.0259887351784767e-06,38,8319,0.988014565405529,0.9755951589307089,0.9802376323902627,0.9575659823006414,0.9676519555850499
2.0267679616150844e-06,38,8315,0.988014565405529,0.9755951589307089,0.9802366882769877,0.9575583571759299,0.9676519555850499
2.0289356278841875e-06,38,8299,0.988014565405529,0.9755951589307089,0.9802724753512244,0.9577873475727265,0.9676519555850499
2.028239833773115e-06,38,8303,0.988014565405529,0.9755951589307089,0.9802321907861573,0.9575388265397041,0.9676519555850499
2.029464823405285e-06,38,8291,0.9880308943354942,0.975629218339595,0.9803218462869661,0.9578280263455998,0.9676967481043038
2.0296065722055797e-06,38,8283,0.9880308943354942,0.975629218339595,0.9803185548432767,0.9578125771105065,0.9676967481043038
2.0320667013840107e-06,38,8259,0.9880308943354942,0.975629218339595,0.9804583066351484,0.9579334014995415,0.9676967481043038
