n_estimators,min_samples_split,max_features,criterion,accuracy,f1,roc_auc,pr_auc,matthews
150,9,2,gini,0.9997781764172599,0.9998488184835836,0.9999997110487895,0.9999998951274526,0.9994324458314007
200,9,2,gini,0.9997878209208572,0.99985539064246,0.9999997134289478,0.9999998959946254,0.999457133573221
300,9,2,gini,0.9997781764172599,0.9998488164960923,0.9999997210454541,0.9999998987607124,0.9994324686584621
50,3,3,gini,0.9998746214532338,0.9999145495776777,0.9999999369258066,0.9999999766737666,0.9996792150000441
100,3,3,gini,0.9999131994676234,0.9999408420153153,0.9999999409720756,0.9999999785784169,0.9997779226675014
150,3,3,gini,0.999903554964026,0.9999342693379608,0.9999999395439807,0.9999999780605785,0.9997532389478253
200,3,3,gini,0.9999131994676234,0.999940842793009,0.9999999443042972,0.999999979787958,0.9997779102394573
300,3,3,gini,0.9999131994676234,0.999940842793009,0.9999999400200122,0.9999999782325204,0.9997779102394573
50,4,3,gini,0.9998939104604286,0.9999276948459571,0.9999999031275595,0.9999999647672543,0.9997285848338802
100,4,3,gini,0.9999131994676234,0.9999408420153153,0.9999999376398541,0.9999999773692727,0.9997779226675014
150,4,3,gini,0.9999131994676234,0.9999408420153153,0.999999945732392,0.9999999803057434,0.9997779226675014
200,4,3,gini,0.999903554964026,0.9999342693379608,0.9999999519208035,0.9999999825510745,0.9997532389478253
300,4,3,gini,0.999903554964026,0.9999342693379608,0.9999999409720756,0.999999978578703,0.9997532389478253
50,2,3,gini,0.9999131994676234,0.999940842793009,0.9999999245489838,0.9999999687525098,0.9997779102394573
100,2,3,gini,0.9999324884748182,0.999953988839007,0.9999999414481073,0.9999999773770607,0.9998272652111843
150,2,3,gini,0.9999324884748182,0.999953988839007,0.9999999421621548,0.9999999778957589,0.9998272652111843
200,2,3,gini,0.9999131994676234,0.999940842793009,0.9999999435902498,0.9999999787573902,0.9997779102394573
300,2,3,gini,0.9999131994676234,0.999940842793009,0.99999995668112,0.9999999839338246,0.9997779102394573
50,5,3,gini,0.999903554964026,0.9999342684738455,0.999999868853281,0.99999995233653,0.9997532531619865
100,5,3,gini,0.9999131994676234,0.9999408420153153,0.9999999033655753,0.9999999649385993,0.9997779226675014
150,5,3,gini,0.999903554964026,0.9999342684738455,0.9999999119341451,0.9999999680457405,0.9997532531619865
200,5,3,gini,0.9999131994676234,0.9999408420153153,0.9999999171704932,0.9999999699438934,0.9997779226675014
300,5,3,gini,0.9999131994676234,0.9999408420153153,0.9999999347836641,0.9999999763334082,0.9997779226675014
50,6,3,gini,0.9998939104604286,0.9999276957964965,0.9999998598086797,0.9999999490884579,0.9997285688337728
100,6,3,gini,0.9998842659568312,0.9999211221686145,0.9999998828962147,0.9999999575234945,0.9997038998971922
150,6,3,gini,0.9998842659568312,0.9999211232055529,0.9999998947970058,0.9999999618344758,0.999703884545119
200,6,3,gini,0.9998746214532338,0.9999145507010129,0.9999998986052588,0.9999999632191494,0.9996792002960032
300,6,3,gini,0.9998842659568312,0.9999211232055529,0.9999999028895437,0.9999999647735134,0.999703884545119
50,7,3,gini,0.9998649769496364,0.9999079746535903,0.9999998148236888,0.9999999328626369,0.9996545655560206
100,7,3,gini,0.9998842659568312,0.9999211232055529,0.999999852430189,0.9999999464822394,0.999703884545119
150,7,3,gini,0.9998842659568312,0.9999211221686145,0.9999998833722463,0.9999999576973504,0.9997038998971922
200,7,3,gini,0.9998939104604286,0.9999276957964965,0.9999999000333539,0.9999999637361849,0.9997285688337728
300,7,3,gini,0.9998842659568312,0.999921125279348,0.9999999000333538,0.9999999637343614,0.9997038611437508
50,8,3,gini,0.9998360434388442,0.9998882571400401,0.9999998609987586,0.9999999495634029,0.9995805073325867
100,8,3,gini,0.999855332446039,0.9999014059511367,0.9999998952730373,0.9999999619912756,0.9996298319162934
150,8,3,gini,0.9998649769496364,0.9999079794925726,0.9999998848003412,0.9999999581924068,0.9996545044647025
200,8,3,gini,0.9998649769496364,0.9999079807022387,0.9999998867044677,0.9999999588881147,0.9996544952776506
300,8,3,gini,0.9998842659568312,0.999921125279348,0.9999998924168474,0.9999999609659191,0.9997038611437508
50,9,3,gini,0.9998360434388442,0.9998882600779551,0.9999997743609987,0.9999999182119217,0.9995804758063953
100,9,3,gini,0.9998649769496364,0.9999079794925726,0.9999998790879612,0.9999999561334736,0.9996545044647025
150,9,3,gini,0.999855332446039,0.9999014059511367,0.9999998843243094,0.9999999580338735,0.9996298319162934
200,9,3,gini,0.9998842659568312,0.999921124242464,0.9999999043176387,0.9999999652801834,0.9997038716271931
300,9,3,gini,0.9998649769496364,0.9999079782828748,0.9999998962251005,0.9999999623442565,0.9996545160864022
50,10,3,gini,0.9998649769496364,0.999907977073145,0.9999998495739991,0.9999999454453523,0.9996545301424128
100,10,3,gini,0.9998939104604286,0.9999276957964965,0.9999999071738286,0.9999999663184611,0.9997285688337728
150,10,3,gini,0.9998649769496364,0.9999079782828748,0.9999998947970058,0.9999999618309944,0.9996545160864022
200,10,3,gini,0.9998456879424416,0.9998948309407373,0.9999998995573222,0.999999963553095,0.9996051757397065
