Epoch 1
Batch 7800: 0.3835850656032562
Batch 7900: 0.2623007297515869
Batch 8000: 0.32758277654647827
Batch 8100: 0.3146829307079315
Batch 8200: 0.3495502471923828
Accuracy: 85.087, loss: 0.266
Epoch 8
Batch 0: 0.22307851910591125
Batch 100: 0.18798130750656128
Batch 200: 0.33383479714393616
Batch 300: 0.3750588893890381
Batch 400: 0.19194532930850983
Batch 500: 0.2797350585460663
Batch 600: 0.2834863066673279
Batch 700: 0.1447860449552536
Batch 800: 0.33347317576408386
Batch 900: 0.261054128408432
Batch 1000: 0.21950209140777588
Batch 1100: 0.23482240736484528
Batch 1200: 0.3546976149082184
Batch 1300: 0.3083702325820923
Batch 1400: 0.221657395362854
Batch 1500: 0.2823973596096039
Batch 1600: 0.27677565813064575
Batch 1700: 0.4023348093032837
Batch 1800: 0.19838276505470276
Batch 1900: 0.20560123026371002
Batch 2000: 0.21769389510154724
Batch 2100: 0.33394554257392883
Batch 2200: 0.3645307421684265
Batch 2300: 0.236685112118721
Batch 2400: 0.2323281615972519
Batch 2500: 0.3315873444080353
Batch 2600: 0.36529669165611267
Batch 2700: 0.28201305866241455
Batch 2800: 0.1900075376033783
Batch 2900: 0.2709256708621979
Batch 3000: 0.6542578935623169
Batch 3100: 0.33038491010665894
Batch 3200: 0.2121771275997162
Batch 3300: 0.20127606391906738
Batch 3400: 0.18707716464996338
Batch 3500: 0.31765860319137573
Batch 3600: 0.3244210183620453
Batch 3700: 0.31444308161735535
Batch 3800: 0.2960251271724701
Batch 3900: 0.28481805324554443
Batch 4000: 0.1998501569032669
Batch 4100: 0.25615403056144714
Batch 4200: 0.438585489988327
Batch 4300: 0.13154006004333496
Batch 4400: 0.35107243061065674
Batch 4500: 0.3498293459415436
Batch 4600: 0.1737440675497055
Batch 4700: 0.30638810992240906
Batch 4800: 0.2147054672241211
Batch 4900: 0.12009663134813309
Batch 5000: 0.18513695895671844
Batch 5100: 0.3396010100841522
Batch 5200: 0.5065235495567322
Batch 5300: 0.30726999044418335
Batch 5400: 0.25820350646972656
Batch 5500: 0.2454535961151123
Batch 5600: 0.3267417848110199
Batch 5700: 0.3959130644798279
Batch 5800: 0.29957079887390137
Batch 5900: 0.24530397355556488
Batch 6000: 0.2934684455394745
Batch 6100: 0.4111311435699463
Batch 6200: 0.17924028635025024
Batch 6300: 0.34849244356155396
Batch 6400: 0.2262876331806183
Batch 6500: 0.2588379383087158
Batch 6600: 0.2737756669521332
Batch 6700: 0.33322012424468994
Batch 6800: 0.2269904911518097
Batch 6900: 0.2725270688533783
Batch 7000: 0.2687484323978424
Batch 7100: 0.3231256604194641
Batch 7200: 0.10225842148065567
Batch 7300: 0.22292539477348328
